,CHINESE PERSONAL
PRONOUNS,,,ENGLISH PERSONAL
PRONOUNS,
,SINGULAR,COLLECTIVE,,SINGULAR,PLURAL
First person,woˇ,woˇmen,,‘I; me’,‘we; us’
Second person,nıˇ, nín,nıˇmen,,‘you, you [polite]’,‘you [all]’
Third person,tā,tāmen,,‘he, she, [it]; him,
her’,‘they; them’
