POSITIVE,NEGATIVE
Rè le.
‘It’s gotten warm.’,Bú rè le.
‘It’s not warm anymore.’
Chī le.
‘[We]’ve started eating.’,Woˇ bù chī le.
‘I’m not eating anymore.’
(cid:2)Yıˇjīng(cid:3) zoˇu le.
‘[He]’s (cid:2)already(cid:3) left.’,(cid:2)Hái(cid:3) méi(cid:2)yŏu(cid:3) zoˇu (cid:2)ne(cid:3).
‘[She] hasn’t left (cid:2)yet(cid:3).’
Tāmen (cid:2)yıˇjīng(cid:3) chīfàn le.
‘They’ve (cid:2)already(cid:3) eaten.’,Tāmen hái méi(cid:2)yŏu(cid:3) chīfàn (cid:2)ne(cid:3).
‘They haven’t eaten (cid:2)yet(cid:3).’
