SERVICE,CLIENT SERVER,P2P
PERFORMANCE,The server can be upgraded to be made more powerful to cope with high demand.,If machines  on the network are slow they will slow down other machines.
BACKUPS,Data is all  backed  up on the main server .,Each computer has to be backed up Data can easily be deleted by users .
